#,Code,Description,"Ad status","Expires on",Reserved,Client,Channel,Office,"Updated at"
1,Him6,"10% discount on full priced and sale MEN items",N/A,N/A,"Sausan AlKadi",Ounass,Influencers,N/A,"2019-02-25 14:02:45"
2,Now38,"20% discount off everything except (Armani, GAP, M&amp;P)",N/A,N/A,"Dr. Hind",Nisnass,Influencers,N/A,"2019-02-25 13:52:03"
3,Now16,"20% discount off everything except (Armani, GAP, M&amp;P)",N/A,N/A,"Joud Lama",Nisnass,Influencers,N/A,"2019-02-25 13:48:41"
4,Now34,"20% discount off everything except (Armani, GAP, M&amp;P)",N/A,N/A,Mhmdz,Nisnass,Influencers,N/A,"2019-02-25 13:18:14"
5,Laky1,"Discount 10%",N/A,N/A,N/A,MumzWorld,Influencers,N/A,"2019-02-25 12:49:26"
6,Laky2,"Discount 10%",Active,N/A,N/A,MumzWorld,Influencers,N/A,"2019-02-25 12:49:26"
7,Laky3,"Discount 10%",Active,N/A,N/A,MumzWorld,Influencers,N/A,"2019-02-25 12:49:26"
8,Laky4,"Discount 10%",Active,N/A,N/A,MumzWorld,Influencers,N/A,"2019-02-25 12:49:26"
9,Laky5,"Discount 10%",Active,N/A,N/A,MumzWorld,N/A,N/A,"2019-02-25 12:49:26"
10,Laky6,"Discount 10%",Active,N/A,N/A,MumzWorld,Influencers,N/A,"2019-02-25 12:49:26"
11,Laky8,"Discount 10%",Active,N/A,N/A,MumzWorld,Influencers,N/A,"2019-02-25 12:49:26"
12,Laky10,"Discount 10%",Active,N/A,N/A,MumzWorld,Influencers,N/A,"2019-02-25 12:49:26"
13,Laky18,"Discount 10%",Active,N/A,N/A,MumzWorld,Influencers,N/A,"2019-02-25 12:49:26"
14,Laky20,"Discount 10%",Active,N/A,N/A,MumzWorld,Influencers,N/A,"2019-02-25 12:49:26"
15,Laky22,"Discount 10%",Active,N/A,N/A,MumzWorld,N/A,N/A,"2019-02-25 12:49:26"
16,Laky26,"Discount 10%",Active,N/A,N/A,MumzWorld,N/A,N/A,"2019-02-25 12:49:26"
17,mama15,N/A,active,N/A,N/A,MumzWorld,Influencers,N/A,"2019-02-25 12:49:26"
18,mama25,N/A,active,N/A,N/A,MumzWorld,Influencers,N/A,"2019-02-25 12:49:26"
